bbbs,title,gbrq,sxrq,sxx,zdjgName,flxz,zdjgCodeId,flfgCodeId,raw_json
ff8081819f691a91019f8922f31b2da3,城步苗族自治县自治条例,2026-07-06,2026-08-01,4,城步苗族自治县人民代表大会,地方法规,9999,260,"{""bbbs"": ""ff8081819f691a91019f8922f31b2da3"", ""flfgCodeId"": 260, ""flxz"": ""地方法规"", ""gbrq"": ""2026-07-06"", ""score"": 0.0, ""sxrq"": ""2026-08-01"", ""sxx"": 4, ""title"": ""城步苗族自治县自治条例"", ""titleHightLightList"": [{""highLight"": false, ""value"": ""城步苗族自治县自治条例""}], ""xgzlHighLight"": null, ""zdjgCodeId"": 9999, ""zdjgName"": ""城步苗族自治县人民代表大会""}"
ff8081819f12cdb7019f3f3cda9a5539,湖南省烟花爆竹安全生产管理若干规定,2026-06-29,2026-06-29,3,湖南省人民代表大会常务委员会,地方法规,340,230,"{""bbbs"": ""ff8081819f12cdb7019f3f3cda9a5539"", ""flfgCodeId"": 230, ""flxz"": ""地方法规"", ""gbrq"": ""2026-06-29"", ""score"": 0.0, ""sxrq"": ""2026-06-29"", ""sxx"": 3, ""title"": ""湖南省烟花爆竹安全生产管理若干规定"", ""titleHightLightList"": [{""highLight"": false, ""value"": ""湖南省烟花爆竹安全生产管理若干规定""}], ""xgzlHighLight"": null, ""zdjgCodeId"": 340, ""zdjgName"": ""湖南省人民代表大会常务委员会""}"
95bb747db54e419184eff06546515826,中华人民共和国商标法,2026-06-26,2027-01-01,4,全国人民代表大会常务委员会,法律,110,120,"{""bbbs"": ""95bb747db54e419184eff06546515826"", ""flfgCodeId"": 120, ""flxz"": ""法律"", ""gbrq"": ""2026-06-26"", ""score"": 0.0, ""sxrq"": ""2027-01-01"", ""sxx"": 4, ""title"": ""中华人民共和国商标法"", ""titleHightLightList"": [{""highLight"": false, ""value"": ""中华人民共和国商标法""}], ""xgzlHighLight"": null, ""zdjgCodeId"": 110, ""zdjgName"": ""全国人民代表大会常务委员会""}"
de5894bab8ba469e94bfe65bb3329003,全国人民代表大会常务委员会关于授权香港特别行政区对皇岗口岸港方口岸区及相关延伸区实施管辖的决定,2026-06-26,,,全国人民代表大会常务委员会,有关法律问题和重大问题的决定（部分）,110,190,"{""bbbs"": ""de5894bab8ba469e94bfe65bb3329003"", ""flfgCodeId"": 190, ""flxz"": ""有关法律问题和重大问题的决定（部分）"", ""gbrq"": ""2026-06-26"", ""score"": 0.0, ""sxrq"": null, ""sxx"": null, ""title"": ""全国人民代表大会常务委员会关于授权香港特别行政区对皇岗口岸港方口岸区及相关延伸区实施管辖的决定"", ""titleHightLightList"": [{""highLight"": false, ""value"": ""全国人民代表大会常务委员会关于授权香港特别行政区对皇岗口岸港方口岸区及相关延伸区实施管辖的决定""}], ""xgzlHighLight"": null, ""zdjgCodeId"": 110, ""zdjgName"": ""全国人民代表大会常务委员会""}"
116cf24403c84d5b9216e54e6db9886e,全国人民代表大会常务委员会关于修改《中华人民共和国注册会计师法》的决定,2026-06-26,2027-01-01,,全国人民代表大会常务委员会,修改、废止的决定,110,200,"{""bbbs"": ""116cf24403c84d5b9216e54e6db9886e"", ""flfgCodeId"": 200, ""flxz"": ""修改、废止的决定"", ""gbrq"": ""2026-06-26"", ""score"": 0.0, ""sxrq"": ""2027-01-01"", ""sxx"": null, ""title"": ""全国人民代表大会常务委员会关于修改《中华人民共和国注册会计师法》的决定"", ""titleHightLightList"": [{""highLight"": false, ""value"": ""全国人民代表大会常务委员会关于修改《中华人民共和国注册会计师法》的决定""}], ""xgzlHighLight"": null, ""zdjgCodeId"": 110, ""zdjgName"": ""全国人民代表大会常务委员会""}"
ff8081819f12cdb7019f20e2bce8514c,退役军人就业创业促进条例,2026-06-26,2026-08-01,4,国务院,行政法规,120,210,"{""bbbs"": ""ff8081819f12cdb7019f20e2bce8514c"", ""flfgCodeId"": 210, ""flxz"": ""行政法规"", ""gbrq"": ""2026-06-26"", ""score"": 0.0, ""sxrq"": ""2026-08-01"", ""sxx"": 4, ""title"": ""退役军人就业创业促进条例"", ""titleHightLightList"": [{""highLight"": false, ""value"": ""退役军人就业创业促进条例""}], ""xgzlHighLight"": null, ""zdjgCodeId"": 120, ""zdjgName"": ""国务院""}"
ff8081819f12cdb7019f2252e11160fd,汕头经济特区审计监督条例,2026-06-26,2026-08-01,4,汕头市人民代表大会常务委员会,地方法规,350,290,"{""bbbs"": ""ff8081819f12cdb7019f2252e11160fd"", ""flfgCodeId"": 290, ""flxz"": ""地方法规"", ""gbrq"": ""2026-06-26"", ""score"": 0.0, ""sxrq"": ""2026-08-01"", ""sxx"": 4, ""title"": ""汕头经济特区审计监督条例"", ""titleHightLightList"": [{""highLight"": false, ""value"": ""汕头经济特区审计监督条例""}], ""xgzlHighLight"": null, ""zdjgCodeId"": 350, ""zdjgName"": ""汕头市人民代表大会常务委员会""}"
ff8081819e48b44c019f1159b8d31b60,衡阳市养犬管理若干规定,2026-06-25,2026-11-01,4,衡阳市人民代表大会常务委员会,地方法规,9999,230,"{""bbbs"": ""ff8081819e48b44c019f1159b8d31b60"", ""flfgCodeId"": 230, ""flxz"": ""地方法规"", ""gbrq"": ""2026-06-25"", ""score"": 0.0, ""sxrq"": ""2026-11-01"", ""sxx"": 4, ""title"": ""衡阳市养犬管理若干规定"", ""titleHightLightList"": [{""highLight"": false, ""value"": ""衡阳市养犬管理若干规定""}], ""xgzlHighLight"": null, ""zdjgCodeId"": 9999, ""zdjgName"": ""衡阳市人民代表大会常务委员会""}"
ff8081819f12cdb7019f4455d5d87694,开封市优化营商环境条例,2026-06-24,2026-06-24,3,开封市人民代表大会常务委员会,地方法规,9999,230,"{""bbbs"": ""ff8081819f12cdb7019f4455d5d87694"", ""flfgCodeId"": 230, ""flxz"": ""地方法规"", ""gbrq"": ""2026-06-24"", ""score"": 0.0, ""sxrq"": ""2026-06-24"", ""sxx"": 3, ""title"": ""开封市优化营商环境条例"", ""titleHightLightList"": [{""highLight"": false, ""value"": ""开封市优化营商环境条例""}], ""xgzlHighLight"": null, ""zdjgCodeId"": 9999, ""zdjgName"": ""开封市人民代表大会常务委员会""}"
ba42a7b4089f47e6bed6a8aad1f31b90,开封市人民代表大会常务委员会关于修改《开封市优化营商环境条例》的决定,2026-06-24,2026-06-24,,开封市人民代表大会常务委员会,修改、废止的决定,9999,310,"{""bbbs"": ""ba42a7b4089f47e6bed6a8aad1f31b90"", ""flfgCodeId"": 310, ""flxz"": ""修改、废止的决定"", ""gbrq"": ""2026-06-24"", ""score"": 0.0, ""sxrq"": ""2026-06-24"", ""sxx"": null, ""title"": ""开封市人民代表大会常务委员会关于修改《开封市优化营商环境条例》的决定"", ""titleHightLightList"": [{""highLight"": false, ""value"": ""开封市人民代表大会常务委员会关于修改《开封市优化营商环境条例》的决定""}], ""xgzlHighLight"": null, ""zdjgCodeId"": 9999, ""zdjgName"": ""开封市人民代表大会常务委员会""}"
ff8081819f12c6b4019f444e52bc5aa4,鹤壁市地方立法条例,2026-06-23,2026-06-23,3,鹤壁市人民代表大会,地方法规,9999,230,"{""bbbs"": ""ff8081819f12c6b4019f444e52bc5aa4"", ""flfgCodeId"": 230, ""flxz"": ""地方法规"", ""gbrq"": ""2026-06-23"", ""score"": 0.0, ""sxrq"": ""2026-06-23"", ""sxx"": 3, ""title"": ""鹤壁市地方立法条例"", ""titleHightLightList"": [{""highLight"": false, ""value"": ""鹤壁市地方立法条例""}], ""xgzlHighLight"": null, ""zdjgCodeId"": 9999, ""zdjgName"": ""鹤壁市人民代表大会""}"
