agency_code_suffix,agency_name,status,note,source_standard
1000,全国人民代表大会,现行,地方人民代表大会复用此码,GB/T 47277—2026 附录B表B.1
1001,全国人民代表大会常务委员会,现行,,GB/T 47277—2026 附录B表B.1
1010,全国人大常委会办公厅,现行,出自 GB/T4657—2021 表2,GB/T 47277—2026 附录B表B.1
1020,全国人大环境与资源保护委员会,现行,出自 GB/T4657—2021 表2,GB/T 47277—2026 附录B表B.1
1030,全国人大民族委员会,现行,出自 GB/T4657—2021 表2,GB/T 47277—2026 附录B表B.1
1040,全国人大农业与农村委员会,现行,出自 GB/T4657—2021 表2,GB/T 47277—2026 附录B表B.1
1050,全国人大常委会法制工作委员会,现行,出自 GB/T4657—2021 表2,GB/T 47277—2026 附录B表B.1
1060,全国人大常委会预算工作委员会,现行,出自 GB/T4657—2021 表2,GB/T 47277—2026 附录B表B.1
1070,全国人大法律委员会,—,出自 GB/T4657—2021 表 B.6,GB/T 47277—2026 附录B表B.1
1071,全国人大宪法和法律委员会,现行,出自 GB/T4657—2021 表2,GB/T 47277—2026 附录B表B.1
1090,全国人大内务司法委员会,—,出自 GB/T4657—2021 表 B.6,GB/T 47277—2026 附录B表B.1
1091,全国人大监察和司法委员会,现行,出自 GB/T4657—2021 表2,GB/T 47277—2026 附录B表B.1
1110,全国人大财政经济委员会,现行,出自 GB/T4657—2021 表2,GB/T 47277—2026 附录B表B.1
1130,全国人大教育科学文化卫生委员会,现行,出自 GB/T4657—2021 表2,GB/T 47277—2026 附录B表B.1
1150,全国人大外事委员会,现行,出自 GB/T4657—2021 表2,GB/T 47277—2026 附录B表B.1
1170,全国人大华侨委员会,现行,出自 GB/T4657—2021 表2,GB/T 47277—2026 附录B表B.1
1180,全国人大社会建设委员会,现行,出自 GB/T4657—2021 表2,GB/T 47277—2026 附录B表B.1
1210,香港特别行政区基本法委员会,—,出自 GB/T4657—2021表 B.13,GB/T 47277—2026 附录B表B.1
1211,全国人大常委会香港特别行政区基本法委员会,现行,出自 GB/T4657—2021表2,GB/T 47277—2026 附录B表B.1
1220,澳门特别行政区基本法委员会,现行,出自 GB/T4657—2021表 B.13,GB/T 47277—2026 附录B表B.1
1221,全国人大常委会澳门特别行政区基本法委员会,现行,出自 GB/T4657—2021表2,GB/T 47277—2026 附录B表B.1
1230,全国人民代表大会常务委员会代表工作委员会,现行,,GB/T 47277—2026 附录B表B.1
1240,全国人民代表大会常务委员会代表资格审查委员会,现行,,GB/T 47277—2026 附录B表B.1
1250,全国人民代表大会法律委员会,—,,GB/T 47277—2026 附录B表B.1
1260,全国人民代表大会内务司法委员会,—,,GB/T 47277—2026 附录B表B.1
1310,政协全国委员会机关,—,出自 GB/T4657—2021 表 B.8,GB/T 47277—2026 附录B表B.1
1311,全国政协办公厅,现行,出自 GB/T4657—2021 表2,GB/T 47277—2026 附录B表B.1
1320,全国政协提案委员会,现行,出自 GB/T4657—2021 表2,GB/T 47277—2026 附录B表B.1
1330,全国政协经济委员会,现行,出自 GB/T4657—2021 表2,GB/T 47277—2026 附录B表B.1
1340,全国政协人口资源环境委员会,现行,出自 GB/T4657—2021 表2,GB/T 47277—2026 附录B表B.1
1350,全国政协教科文卫体委员会,—,出自 GB/T4657—2021 表 B.6,GB/T 47277—2026 附录B表B.1
1351,全国政协教科卫体委员会,现行,出自 GB/T4657—2021 表2,GB/T 47277—2026 附录B表B.1
1360,全国政协社会和法制委员会,现行,出自 GB/T4657—2021 表2,GB/T 47277—2026 附录B表B.1
1370,全国政协民族和宗教委员会,现行,出自 GB/T4657—2021 表2,GB/T 47277—2026 附录B表B.1
1380,全国政协港澳台侨委员会,现行,出自 GB/T4657—2021 表2,GB/T 47277—2026 附录B表B.1
1390,全国政协外事委员会,现行,出自 GB/T4657—2021 表2,GB/T 47277—2026 附录B表B.1
1400,全国政协文史和学习委员会,—,出自 GB/T4657—2021 表 B.6,GB/T 47277—2026 附录B表B.1
1401,全国政协文化文史和学习委员会,现行,出自 GB/T4657—2021 表2,GB/T 47277—2026 附录B表B.1
